Counter-Strike 2D b 0.1.2.7 Logfile - 28 Aug 2015, 17:11:13

[17:11:13] UDP socket initialized using port 55805
[17:11:13] U.S.G.N.: Your game version is up to date!
[17:11:13] U.S.G.N.: Transmission cancelled by user. Unable to check version/news
[17:11:13] U.S.G.N.: Received unexpected masterserver message (101)
[17:11:13] U.S.G.N.: Ping/State 'playing'
[17:11:13] U.S.G.N.: Received unexpected masterserver message (45)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (48)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (54)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (32)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (50)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (58)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (53)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (50)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (4)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (22)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (0)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (169)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (48)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (50)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (53)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (48)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (67)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (83)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (50)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (68)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (32)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (48)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (46)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (49)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (46)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (50)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (46)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (55)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (67)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (83)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (50)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (68)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (32)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (98)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (32)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (48)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (46)
[17:11:13] U.S.G.N.: Received unexpected masterserver message (49)
